Id,Universidad,Link,Link Transparencia,Presupuesto,,,,Fuente1,Fuente 2
,,,,Salud,Educación y Cultura,Ciencia y Técnica,Total,,
32,LITORAL,www.unl.edu.ar,,20091324,4951856049,18082843,4990030216,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
33,LOMAS DE ZAMORA,www.unlz.edu.ar,,0,2688447193,7279760,2695726953,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
34,LOS COMECHINGONES,http://www.unlc.edu.ar/,,0,125326306,732259,126058565,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
35,LUJAN,www.unlu.edu.ar,,0,2543042755,7659429,2550702184,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
36,MAR DEL PLATA,www.mdp.edu.ar,,0,4059544403,16357345,4075901748,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
37,MISIONES,www.unam.edu.ar,,0,2827671248,9675353,2837346601,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
38,MORENO,www.unm.edu.ar,,0,737556318,745275,738301593,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
39,NORDESTE,www.unne.edu.ar,,20649368,5384717644,15259958,5420626970,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
40,NOROESTE BUENOS AIRES,www.unnoba.edu.ar,,0,940356280,3597568,943953848,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
41,OESTE,http://www.uno.edu.ar,,,,,,https://www.cin.edu.ar/instituciones-universitarias/ (a mayo 2020),https://www.minhacienda.gob.ar/onp/documentos/presutexto/proy2020/ley/pdf/planillas_anexas/capitulo1/universidades.xlsx (al 26/05/2020)
